type,fin,registration,aerolopa_type
223,101,C-GROV,ac-223
223,102,C-GJXE,ac-223
223,103,C-GJXN,ac-223
223,104,C-GJXV,ac-223
223,105,C-GJXW,ac-223
223,106,C-GJXY,ac-223
223,107,C-GJYA,ac-223
223,108,C-GJYC,ac-223
223,109,C-GJYE,ac-223
223,110,C-GJYI,ac-223
223,111,C-GMYU,ac-223
223,112,C-GMZN,ac-223
223,113,C-GMZR,ac-223
223,114,C-GMZY,ac-223
223,115,C-GNGV,ac-223
223,116,C-GNAM,ac-223
223,117,C-GTZH,ac-223
223,118,C-GNBE,ac-223
223,119,C-GNBN,ac-223
223,120,C-GTZS,ac-223
223,121,C-GTZU,ac-223
223,122,C-GUAC,ac-223
223,123,C-GUPG,ac-223
223,124,C-GUPK,ac-223
223,125,C-GUPL,ac-223
223,126,C-GVDP,ac-223
223,127,C-GVDQ,ac-223
223,128,C-GVUH,ac-223
223,129,C-GVUN,ac-223
223,130,C-GVUO,ac-223
223,131,C-GWUQ,ac-223
223,132,C-GWUS,ac-223
223,133,C-GWUT,ac-223
223,134,C-FDUW,ac-223
223,135,C-FDUY,ac-223
223,136,C-GYLY,ac-223
223,137,C-GYLQ,ac-223
319,251,C-FYNS,rv-319
319,252,C-FYIY,rv-319
319,255,C-FYJE,rv-319
319,256,C-FYJG,rv-319
319,257,C-FYJH,rv-319
319,258,C-FYJI,ac-319
319,259,C-FYJP,rv-319
319,260,C-FYKC,ac-319
319,262,C-FYKW,rv-319
319,263,C-FZUG,rv-319
319,272,C-GARJ,rv-319
319,273,C-GARO,rv-319
319,274,C-GBHM,
319,275,C-GBHN,
319,276,C-GBHO,rv-319
319,277,C-GBHR,rv-319
319,278,C-GBHY,rv-319
319,279,C-GBHZ,rv-319
319,280,C-GBIA,ac-319
319,281,C-GBIJ,rv-319
319,283,C-GBIM,rv-319
319,284,C-GBIN,rv-319
319,286,C-GITP,rv-319
319,287,C-GITR,rv-319
319,290,C-GSJB,rv-319
320,225,C-FKPT,ac-320-jetz
320,226,C-FKOJ,ac-320-jetz
320,232,C-FMSX,ac-320-jetz
320,235,C-GJVT,ac-320-1
320,236,C-GKOD,ac-320-1
320,237,C-GKOE,ac-320-1
320,238,C-FZUB,ac-320-1
320,239,C-FXCD,ac-320-1
320,240,C-FZQS,ac-320-1
320,241,C-FGJI,ac-320-1
320,242,C-FGKH,ac-320-1
320,243,C-GFCH,rv-320
320,244,C-GFCI,rv-320
320,245,C-GFCP,rv-320
320,246,C-GFDU,rv-320
320,247,C-GFWX,rv-320
320,401,C-GPWG,ac-320-1
320,402,C-FPWE,ac-320-1
320,405,C-FDCA,ac-320-1
320,408,C-FLSS,ac-320-1
320,411,C-FLSU,ac-320-1
320,415,C-FNVU,ac-320-1
320,416,C-FNVV,ac-320-jetz
320,417,C-FCQD,ac-320-2
320,418,C-FCQX,ac-320-2
320,419,C-FCYX,ac-320-2
320,420,C-FCZF,ac-320-2
320,421,C-FCUG,ac-320-3
320,422,C-FDGQ,ac-320-3
321,451,C-GITU,ac-321-2
321,452,C-GITY,ac-321-2
321,453,C-GIUB,ac-321-1
321,454,C-GIUE,ac-321-1
321,455,C-GIUF,ac-321-1
321,456,C-GJVX,ac-321-1
321,457,C-GJWD,ac-321-2
321,458,C-GJWI,ac-321-1
321,459,C-GJWN,ac-321-1
321,460,C-GJWO,ac-321-1
321,461,C-FGKN,ac-321-1
321,462,C-FGKP,ac-321-1
321,463,C-FGKZ,ac-321-2
321,464,C-FJNX,ac-321-2
321,465,C-GYFM,rv-321-2
321,466,C-GYFY,rv-321-2
321,467,C-GYGU,rv-321-2
321,468,C-FJOK,rv-321-1
321,469,C-FJOU,rv-321-1
321,470,C-FJQD,rv-321-1
321,471,C-FJQH,rv-321-1
321,472,C-FJQL,rv-321-1
321,473,C-FLKX,ac-321-1
321,474,C-FYXF,rv-321-1
321,475,C-GHPD,rv-321-1
321,476,C-GHPJ,rv-321-1
321,477,C-GHQG,rv-321-1
321,478,C-GHQI,rv-321-1
321,479,C-GJTH,rv-321-1
321,480,C-GJTX,rv-321-1
321,481,C-GKFA,rv-321-1
321,482,C-GKFB,rv-321-1
321,483,C-FCEU,ac-321-3
321,484,C-FFGZ,ac-321-3
333,931,C-GFAF,ac-333-1
333,932,C-GFAH,ac-333-1
333,933,C-GFAJ,ac-333-1
333,934,C-GFUR,ac-333-1
333,935,C-GHKR,ac-333-1
333,936,C-GHKW,ac-333-1
333,937,C-GHKX,ac-333-1
333,938,C-GHLM,ac-333-1
333,939,C-GEFA,ac-333-1
333,940,C-GEGC,ac-333-1
333,941,C-GEGI,ac-333-1
333,942,C-GEGP,ac-333-1
333,943,C-GHKC,ac-333-1
333,944,C-GKUG,ac-333-1
333,945,C-GKUH,ac-333-1
333,946,C-GOFV,ac-333-3
333,947,C-GOFW,ac-333-1
333,948,C-GXZD,ac-333-3
333,949,C-FDHG,ac-333-3
333,950,C-FDHU,ac-333-3
788,801,C-GHPQ,ac-788
788,802,C-GHPT,ac-788
788,803,C-GHPU,ac-788
788,804,C-GHPV,ac-788
788,805,C-GHPX,ac-788
788,806,C-GHPY,ac-788
788,807,C-GHQQ,ac-788
788,808,C-GHQY,ac-788
789,831,C-FNOE,ac-789
789,832,C-FNOG,ac-789
789,833,C-FNOH,ac-789
789,834,C-FNOI,ac-789
789,835,C-FGDT,ac-789
789,836,C-FGDX,ac-789
789,837,C-FGDZ,ac-789
789,838,C-FGEI,ac-789
789,839,C-FGEO,ac-789
789,840,C-FGFZ,ac-789
789,841,C-FPQB,ac-789
789,842,C-FGHZ,ac-789
789,843,C-FKSV,ac-789
789,844,C-FRSA,ac-789
789,845,C-FRSE,ac-789
789,846,C-FRSI,ac-789
789,847,C-FRSO,ac-789
789,848,C-FRSR,ac-789
789,849,C-FRTG,ac-789
789,850,C-FRTU,ac-789
789,851,C-FRTW,ac-789
789,852,C-FSBV,ac-789
789,853,C-FVLQ,ac-789
789,854,C-FVLU,ac-789
789,855,C-FVLX,ac-789
789,856,C-FVLZ,ac-789
789,857,C-FVNB,ac-789
789,858,C-FVND,ac-789
789,859,C-FVNF,ac-789
789,860,C-GWUU,ac-789
789,861,C-GYJW,ac-789
789,862,C-FEGI,ac-789
77L,701,C-FIUA,ac-77l
77L,702,C-FIUF,ac-77l
77L,703,C-FIUJ,ac-77l
77L,704,C-FIVK,ac-77l
77L,705,C-FNND,ac-77l
77L,706,C-FNNH,ac-77l
77W,731,C-FITL,ac-773-1
77W,732,C-FITU,ac-773-1
77W,733,C-FITW,ac-773-1
77W,734,C-FIUL,ac-773-1
77W,735,C-FIUR,ac-773-1
77W,736,C-FIUV,ac-773-1
77W,737,C-FIUW,ac-773-1
77W,738,C-FIVM,ac-773-1
77W,739,C-FRAM,ac-773-1
77W,740,C-FIVQ,ac-773-1
77W,741,C-FIVR,ac-773-1
77W,742,C-FIVS,ac-773-1
77W,743,C-FIVW,ac-773-2
77W,744,C-FIVX,ac-773-2
77W,745,C-FNNQ,ac-773-2
77W,746,C-FNNU,ac-773-2
77W,747,C-FNNW,ac-773-2
77W,748,C-FJZS,ac-773-2
77W,749,C-FKAU,ac-773-2
7M8,501,C-FTJV,ac-7m8
7M8,502,C-FSCY,ac-7m8
7M8,503,C-FSDB,ac-7m8
7M8,504,C-FSDQ,ac-7m8
7M8,505,C-FSDW,ac-7m8
7M8,506,C-FSEQ,ac-7m8
7M8,507,C-FSES,ac-7m8
7M8,508,C-FSIL,ac-7m8
7M8,509,C-FSIP,ac-7m8
7M8,510,C-FSIQ,ac-7m8
7M8,511,C-FSJH,ac-7m8
7M8,512,C-FSJJ,ac-7m8
7M8,513,C-FSKZ,ac-7m8
7M8,514,C-FSLU,ac-7m8
7M8,515,C-FSNQ,ac-7m8
7M8,516,C-FSNU,ac-7m8
7M8,517,C-FSOC,ac-7m8
7M8,518,C-FSOI,ac-7m8
7M8,519,C-GEHI,ac-7m8
7M8,520,C-GEHQ,ac-7m8
7M8,521,C-GEHV,ac-7m8
7M8,522,C-GEHY,ac-7m8
7M8,523,C-GEIV,ac-7m8
7M8,524,C-GEJL,ac-7m8
7M8,525,C-GEJN,ac-7m8
7M8,526,C-GEKH,ac-7m8
7M8,527,C-GEKX,ac-7m8
7M8,528,C-GEKZ,ac-7m8
7M8,529,C-GELJ,ac-7m8
7M8,530,C-GELQ,ac-7m8
7M8,531,C-GELU,ac-7m8
7M8,532,C-GEMV,ac-7m8
7M8,533,C-GEOJ,ac-7m8
7M8,534,C-GEPB,ac-7m8
7M8,535,C-GEPF,ac-7m8
7M8,536,C-GEPG,ac-7m8
7M8,537,C-GMEX,ac-7m8
7M8,538,C-GMIQ,ac-7m8
7M8,539,C-GMIU,ac-7m8
7M8,540,C-GMIW,ac-7m8
7M8,571,C-FFOP,
7M8,572,C-FFIK,
7M8,573,C-FFIP,
7M8,574,C-FFIQ,
7M8,575,C-FFIS,
7M8,576,C-FFJF,
CR9,701,C-GJAZ,ac-cr9
CR9,702,C-FBJZ,ac-cr9
CR9,703,C-FCJZ,ac-cr9
CR9,704,C-FDJZ,ac-cr9
CR9,705,C-FJJZ,ac-cr9
CR9,706,C-FKJZ,ac-cr9
CR9,707,C-FLJZ,ac-cr9
CR9,708,C-FNJZ,ac-cr9
CR9,709,C-FTJZ,ac-cr9
CR9,710,C-FUJZ,ac-cr9
CR9,711,C-GDJZ,ac-cr9
CR9,712,C-GFJZ,ac-cr9
CR9,713,C-GLJZ,ac-cr9
CR9,714,C-GNJZ,ac-cr9
CR9,715,C-GOJZ,ac-cr9
CR9,716,C-GPJZ,ac-cr9
CR9,717,C-FJZD,ac-cr9
CR9,718,C-FJZL,ac-cr9
CR9,719,C-GJZS,ac-cr9
CR9,720,C-GJZT,ac-cr9
CR9,721,C-GJZV,ac-cr9
CR9,722,C-GJHZ,ac-cr9
CR9,723,C-GJIZ,ac-cr9
CR9,724,C-GJFZ,ac-cr9
CR9,725,C-GJNZ,ac-cr9
CR9,726,C-GJUZ,ac-cr9
CR9,727,C-GCJZ,ac-cr9
CR9,728,C-FJFZ,ac-cr9
CR9,729,C-FJGZ,ac-cr9
CR9,730,C-FJQZ,ac-cr9
CR9,780,C-FIJZ,ac-cr9
CR9,781,C-FJZN,ac-cr9
CR9,782,C-FOJZ,ac-cr9
CR9,783,C-FRJA,ac-cr9
CR9,784,C-GJAN,ac-cr9
CRJ,130,C-GNJA,
CRJ,131,C-GXJA,
CRJ,132,C-GTJA,
CRJ,133,C-GOJA,
CRJ,134,C-GZJA,
CRJ,161,C-GJZZ,
CRJ,162,C-FDJA,
CRJ,163,C-FEJA,
CRJ,164,C-FFJA,
CRJ,165,C-FIJA,
CRJ,166,C-FZJA,
CRJ,167,C-GGJA,
CRJ,168,C-GMJA,
CRJ,171,C-GQJA,
CRJ,173,C-GUJA,
DH4,401,C-GGOY,ac-dh4
DH4,402,C-GKUK,ac-dh4
DH4,403,C-GGOK,ac-dh4
DH4,404,C-GGOI,ac-dh4
DH4,405,C-GGOF,ac-dh4
DH4,406,C-GGNZ,ac-dh4
DH4,407,C-GGNY,ac-dh4
DH4,408,C-GGNW,ac-dh4
DH4,409,C-GGNF,ac-dh4
DH4,410,C-GGND,ac-dh4
DH4,411,C-GGMU,ac-dh4
DH4,412,C-GGMZ,ac-dh4
DH4,413,C-GGMQ,ac-dh4
DH4,414,C-GGMN,ac-dh4
DH4,415,C-GGMI,ac-dh4
DH4,416,C-GGAH,ac-dh4
DH4,417,C-GGBF,ac-dh4
DH4,418,C-GGCI,ac-dh4
DH4,419,C-GGDU,ac-dh4
DH4,420,C-GGFJ,ac-dh4
DH4,421,C-GGFP,ac-dh4
DH4,422,C-GBJZ,ac-dh4
DH4,423,C-GJZG,ac-dh4
DH4,424,C-GJZX,ac-dh4
DH4,425,C-GIJZ,ac-dh4
DH4,426,C-GSJZ,ac-dh4
DH4,427,C-GJZK,ac-dh4
DH4,428,C-GUJZ,ac-dh4
DH4,429,C-GVJZ,ac-dh4
DH4,430,C-GXJZ,ac-dh4
DH4,431,C-GYJZ,ac-dh4
DH4,432,C-GJZY,ac-dh4
DH4,433,C-GJZA,ac-dh4
DH4,434,C-GJZD,ac-dh4
DH4,494,C-GJZH,ac-dh4
DH4,495,C-GJZC,ac-dh4
DH4,496,C-GJZR,ac-dh4
DH4,497,C-GJZF,ac-dh4
DH4,498,C-GJZN,ac-dh4
DH4,951,C-FPVJ,
DH4,952,C-GXNL,
DH4,953,C-CPAO,
DH4,954,C-GYYR,
DH4,955,C-GPOJ,
DH4,956,C-GPOE
DH4,957,C-FPQI,
DH4,958,C-GPGH,
DH4,959,C-GPNA,
DH4,960,C-GPNV,
DH4,961,C-GPNE,
DH4,962,C-GPIX,
DH4,963,C-FPAL,
DH4,964,C-GPQA,
DH4,965,C-GPFI,
E75,521,C-FEIQ,ac-e75
E75,522,C-FEIX,ac-e75
E75,523,C-FEJB,ac-e75
E75,524,C-FEJC,ac-e75
E75,525,C-FEJD,ac-e75
E75,526,C-FEJF,ac-e75
E75,527,C-FEJL,ac-e75
E75,528,C-FEJP,ac-e75
E75,529,C-FEJY,ac-e75
E75,530,C-FEKD,ac-e75
E75,531,C-FEKH,ac-e75
E75,532,C-FEKI,ac-e75
E75,533,C-FEKJ,ac-e75
E75,534,C-FEKS,ac-e75
E75,535,C-FFYG,ac-e75
E75,536,C-FRQK,ac-e75
E75,537,C-FRQM,ac-e75
E75,538,C-FRQN,ac-e75
E75,539,C-FRQP,ac-e75
E75,540,C-FRQW,ac-e75
E75,541,C-FUJA,ac-e75
E75,542,C-FJBO,ac-e75
E75,543,C-FXJC,ac-e75
E75,544,C-FUJE,ac-e75
E75,545,C-FXJF,ac-e75
